IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.91.58,2087,True,香港 01,Asia Pacific,Hong Kong,61 ms,19067.0
47.76.204.76,2096,True,香港 02,Asia Pacific,Hong Kong,68 ms,17608.0
8.217.127.73,2096,True,香港 03,Asia Pacific,Hong Kong,66 ms,17188.0
47.243.173.187,8443,True,香港 04,Asia Pacific,Hong Kong,64 ms,15044.0
8.210.101.157,2053,True,香港 05,Asia Pacific,Hong Kong,60 ms,14876.0
8.210.3.24,2096,True,香港 06,Asia Pacific,Hong Kong,61 ms,14862.0
47.242.17.250,2083,True,香港 07,Asia Pacific,Hong Kong,57 ms,14858.0
8.210.65.1,2083,True,香港 08,Asia Pacific,Hong Kong,66 ms,14610.0
8.218.53.110,2096,True,香港 09,Asia Pacific,Hong Kong,66 ms,14335.0
8.218.142.253,2053,True,香港 10,Asia Pacific,Hong Kong,63 ms,13499.0
8.210.34.188,2083,True,香港 11,Asia Pacific,Hong Kong,66 ms,13130.0
54.249.173.119,443,True,日本 01,Asia Pacific,Tokyo,66 ms,13070.0
8.217.145.40,2083,True,香港 12,Asia Pacific,Hong Kong,63 ms,13026.0
47.242.157.96,2053,True,香港 13,Asia Pacific,Hong Kong,61 ms,12888.0
8.210.207.214,2053,True,香港 14,Asia Pacific,Hong Kong,60 ms,12866.0
47.243.27.217,2096,True,香港 15,Asia Pacific,Hong Kong,65 ms,12822.0
47.76.159.146,2083,True,香港 16,Asia Pacific,Hong Kong,77 ms,12027.0
8.218.204.128,2053,True,香港 17,Asia Pacific,Hong Kong,68 ms,11879.0
47.76.77.103,8443,True,香港 18,Asia Pacific,Hong Kong,68 ms,11721.0
47.242.171.94,2083,True,香港 19,Asia Pacific,Hong Kong,61 ms,11709.0
8.210.245.224,2053,True,香港 20,Asia Pacific,Hong Kong,66 ms,11638.0
8.217.232.246,8443,True,香港 21,Asia Pacific,Hong Kong,70 ms,11435.0
8.210.119.11,2083,True,香港 22,Asia Pacific,Hong Kong,67 ms,11421.0
47.243.74.220,8443,True,香港 23,Asia Pacific,Hong Kong,54 ms,11179.0
8.218.122.55,2053,True,香港 24,Asia Pacific,Hong Kong,66 ms,10873.0
47.76.33.40,8443,True,香港 25,Asia Pacific,Hong Kong,63 ms,10797.0
47.242.54.157,8443,True,香港 26,Asia Pacific,Hong Kong,64 ms,10787.0
47.242.232.14,2053,True,香港 27,Asia Pacific,Hong Kong,83 ms,10760.0
47.243.139.243,2096,True,香港 28,Asia Pacific,Hong Kong,67 ms,10738.0
47.242.234.127,2083,True,香港 29,Asia Pacific,Hong Kong,58 ms,10570.0
8.217.250.222,2096,True,香港 30,Asia Pacific,Hong Kong,64 ms,10482.0
8.217.121.207,2087,True,香港 31,Asia Pacific,Hong Kong,60 ms,10435.0
47.243.42.219,8443,True,香港 32,Asia Pacific,Hong Kong,63 ms,10214.0
47.242.202.230,2053,True,香港 33,Asia Pacific,Hong Kong,60 ms,9976.0
47.243.86.79,8443,True,香港 34,Asia Pacific,Hong Kong,67 ms,9881.0
8.210.9.129,2087,True,香港 35,Asia Pacific,Hong Kong,55 ms,9837.0
47.76.146.1,2096,True,香港 36,Asia Pacific,Hong Kong,89 ms,9837.0
47.76.178.146,2053,True,香港 37,Asia Pacific,Hong Kong,73 ms,9822.0
47.76.37.57,2087,True,香港 38,Asia Pacific,Hong Kong,70 ms,9761.0
65.75.193.187,34237,True,美国 01,North America,San Jose,175 ms,9741.0
47.242.174.27,2087,True,香港 39,Asia Pacific,Hong Kong,61 ms,9657.0
47.243.169.63,2096,True,香港 40,Asia Pacific,Hong Kong,61 ms,9206.0
47.76.49.246,2053,True,香港 41,Asia Pacific,Hong Kong,70 ms,9016.0
8.218.143.10,2087,True,香港 42,Asia Pacific,Hong Kong,75 ms,8946.0
8.210.21.65,2053,True,香港 43,Asia Pacific,Hong Kong,63 ms,8816.0
8.222.181.117,2083,True,新加坡 01,Asia Pacific,Singapore,242 ms,8812.0
8.222.244.192,2083,True,新加坡 02,Asia Pacific,Singapore,222 ms,8528.0
47.242.79.71,2087,True,香港 44,Asia Pacific,Hong Kong,65 ms,8417.0
47.242.176.237,2087,True,香港 45,Asia Pacific,Hong Kong,58 ms,8400.0
8.217.248.220,2083,True,香港 46,Asia Pacific,Hong Kong,64 ms,8325.0
8.210.174.156,2053,True,香港 47,Asia Pacific,Hong Kong,64 ms,8166.0
8.219.142.191,2083,True,新加坡 03,Asia Pacific,Singapore,238 ms,8129.0
47.76.32.108,2083,True,香港 48,Asia Pacific,Hong Kong,60 ms,8120.0
65.75.193.21,37813,True,美国 02,North America,San Jose,168 ms,8049.0
47.242.155.183,2096,True,香港 49,Asia Pacific,Hong Kong,59 ms,8036.0
8.210.156.6,2087,True,香港 50,Asia Pacific,Hong Kong,68 ms,8030.0
8.222.193.65,2087,True,新加坡 04,Asia Pacific,Singapore,251 ms,7944.0
8.210.48.107,2053,True,香港 51,Asia Pacific,Hong Kong,62 ms,7928.0
47.243.206.150,8443,True,香港 52,Asia Pacific,Hong Kong,60 ms,7907.0
47.243.5.154,2053,True,香港 53,Asia Pacific,Hong Kong,70 ms,7847.0
8.218.3.12,2096,True,香港 54,Asia Pacific,Hong Kong,61 ms,7778.0
8.222.208.38,2096,True,新加坡 05,Asia Pacific,Singapore,229 ms,7764.0
47.243.203.119,2087,True,香港 55,Asia Pacific,Hong Kong,58 ms,7561.0
8.222.179.231,8443,True,新加坡 06,Asia Pacific,Singapore,215 ms,7499.0
47.243.107.148,8443,True,香港 56,Asia Pacific,Hong Kong,73 ms,7466.0
8.210.146.108,2096,True,香港 57,Asia Pacific,Hong Kong,69 ms,7465.0
8.217.164.10,2083,True,香港 58,Asia Pacific,Hong Kong,64 ms,7462.0
8.217.147.230,2053,True,香港 59,Asia Pacific,Hong Kong,67 ms,7281.0
65.75.194.109,20443,True,美国 03,North America,San Jose,181 ms,7149.0
47.245.114.163,2053,True,新加坡 07,Asia Pacific,Singapore,227 ms,7093.0
8.222.183.242,8443,True,新加坡 08,Asia Pacific,Singapore,266 ms,7062.0
8.217.85.14,2083,True,香港 60,Asia Pacific,Hong Kong,67 ms,7034.0
8.210.192.93,2087,True,香港 61,Asia Pacific,Hong Kong,61 ms,7017.0
47.236.80.110,2087,True,新加坡 09,Asia Pacific,Singapore,230 ms,6911.0
47.237.83.20,2087,True,新加坡 10,Asia Pacific,Singapore,239 ms,6899.0
47.237.84.173,2053,True,新加坡 11,Asia Pacific,Singapore,228 ms,6815.0
8.219.126.240,2096,True,新加坡 12,Asia Pacific,Singapore,218 ms,6798.0
47.245.105.224,8443,True,新加坡 13,Asia Pacific,Singapore,256 ms,6697.0
47.236.164.215,8443,True,新加坡 14,Asia Pacific,Singapore,222 ms,6683.0
47.245.102.52,8443,True,新加坡 15,Asia Pacific,Singapore,257 ms,6642.0
8.219.11.158,2087,True,新加坡 16,Asia Pacific,Singapore,238 ms,6585.0
47.245.118.70,2096,True,新加坡 17,Asia Pacific,Singapore,232 ms,6573.0
47.243.60.150,8443,True,香港 62,Asia Pacific,Hong Kong,58 ms,6508.0
8.219.191.110,2087,True,新加坡 18,Asia Pacific,Singapore,222 ms,6402.0
8.219.191.40,2087,True,新加坡 19,Asia Pacific,Singapore,237 ms,6392.0
8.219.161.129,2083,True,新加坡 20,Asia Pacific,Singapore,246 ms,6381.0
8.219.120.87,2083,True,新加坡 21,Asia Pacific,Singapore,220 ms,6209.0
47.242.59.216,2096,True,香港 63,Asia Pacific,Hong Kong,64 ms,6182.0
47.237.8.82,2053,True,新加坡 22,Asia Pacific,Singapore,269 ms,6126.0
8.219.113.232,8443,True,新加坡 23,Asia Pacific,Singapore,245 ms,6122.0
47.243.139.85,2083,True,香港 64,Asia Pacific,Hong Kong,60 ms,5915.0
8.222.167.147,2083,True,新加坡 24,Asia Pacific,Singapore,259 ms,5871.0
47.236.17.193,8443,True,新加坡 25,Asia Pacific,Singapore,244 ms,5848.0
8.219.114.201,2053,True,新加坡 26,Asia Pacific,Singapore,233 ms,5771.0
3.18.225.231,443,True,美国 04,North America,Chicago,243 ms,5709.0
47.237.86.185,2096,True,新加坡 27,Asia Pacific,Singapore,238 ms,5605.0
8.219.110.81,2096,True,新加坡 28,Asia Pacific,Singapore,219 ms,5596.0
152.70.155.147,443,True,美国 05,North America,Los Angeles,301 ms,5533.0
47.237.92.26,8443,True,新加坡 29,Asia Pacific,Singapore,232 ms,5531.0
8.219.117.198,2096,True,新加坡 30,Asia Pacific,Singapore,221 ms,5520.0
